label,L,U,FIXK,depth61_survivors,depth83_states,tail22_gates,survive,overflow,deepest_base,qmax
0-2b,0,2000000000,31,3592089,379544924,588381926,0,0,545,53
2-4b,2000000001,4000000000,32,3592574,379336322,588055343,0,0,567,53
4-8b,4000000001,8000000000,33,7185385,758974484,1176764490,0,0,589,53
8-12b,8000000001,12000000000,34,7185549,758940825,1176608836,0,0,633,53
12-16b,12000000001,16000000000,34,7188065,759354444,1177267549,0,0,589,53
16-20b,16000000001,20000000000,35,7189182,759781059,1178116261,0,0,589,53
20-24b,20000000001,24000000000,35,7184294,759204457,1177207710,0,0,567,53
24-28b,24000000001,28000000000,35,7186880,759799482,1178240192,0,0,589,53
28-32b,28000000001,32000000000,35,7183721,759014093,1176846269,0,0,633,53
32-36b,32000000001,36000000000,36,7181516,758669008,1176370998,0,0,589,54
36-Rstar,36000000001,38069442534,36,3716070,392829349,609053936,0,0,567,54
TOTAL,0,38069442534,,68385325,7225448447,11202913510,0,0,633,54
