q	d	prefilter_from_depth40_nested_survivors	newly_pruned_at_depth41	survivors	method_status
41	0	1	0	1	EXACT_TRIVIAL
40	1	39	0	39	EXACT_TRIVIAL
39	2	703	1	702	EXACT_FIXED_D
38	3	8393	0	8393	EXACT_FIXED_D
37	4	72943	0	72943	EXACT_FIXED_D
36	5	490672	0	490672	EXACT_FIXED_D
35	6	2654671	52	2654619	EXACT_FIXED_D_FORWARD_CHECK
34	7	11850117	143	11849974	EXACT_FIXED_D_FORWARD_CHECK
33	8	44393684	507	44393177	EXACT_FINITE_STATE_DP
32	9	141092144	1698	141090446	EXACT_FINITE_STATE_DP
31	10	382235624	7470	382228154	EXACT_FINITE_STATE_DP
30	11	880982971	29342	880953629	EXACT_FINITE_STATE_DP
TOTAL_Q30PLUS		1463781962	39213	1463742749	PARTIAL_DEPTH41_EXACT

# MATH-051 is NOT complete.
# Remaining depth-41 central layers: q=26,27,28,29 (d=15,14,13,12 respectively).
# The q>=30 partial result is exact within the audited fixed-d / finite-state calculation.
