r	total_phase_address_cells	cost_safe_cells	singleton_resolution_cells	critical_cells	status
13	1035	157	483	395	OPEN_SUPPORT_AUDIT
12	1013	126	457	430	OPEN_SUPPORT_AUDIT
11	1013	119	414	480	OPEN_SUPPORT_AUDIT
10	994	91	396	507	OPEN_SUPPORT_AUDIT
9	977	72	349	556	OPEN_SUPPORT_AUDIT
8	977	60	330	587	OPEN_SUPPORT_AUDIT
7	963	42	291	630	OPEN_SUPPORT_AUDIT
6	963	34	250	679	OPEN_SUPPORT_AUDIT
5	952	20	226	706	OPEN_SUPPORT_AUDIT
4	944	14	172	758	OPEN_SUPPORT_AUDIT
3	944	9	152	783	OPEN_SUPPORT_AUDIT
2	939	3	104	832	OPEN_SUPPORT_AUDIT
