metric	value
prepared_split_pieces	605977
total_occurrence_mass	3419719061560
d23_modulus	8388608
d23_residues_with_stronger_threshold	2489262
rows_with_complete_d23_cycles	13702
complete_cycle_mass_examined	3249377640448
rows_with_positive_d23_increment	2135
max_new_safe_residues_per_complete_cycle	58040
d23_disjoint_complete_cycle_extra_safe_mass	3151665357
prior_math129_safe_mass	3209065424947
prior_math129_tail_mass	210653636613
conservative_safe_mass_after_d23_increment	3212217090304
conservative_tail_after_d23_increment	207501971256
conservative_safe_fraction_percent	93.93219245439003
status	EXACT_FINITE_DISJOINT_D23_INCREMENT_NO_R11_CLOSURE_CLAIM
