metric	value
prepared_split_pieces	605977
total_occurrence_mass	3419719061560
base_exact_safe_through_d22	3209065424947
new_complete_cycle_safe_d23	3151665357
new_complete_cycle_safe_d24	17456818136
new_complete_cycle_safe_d25	15350900431
new_complete_cycle_safe_d26	5512456558
new_complete_cycle_safe_d27	13125146222
new_complete_cycle_safe_d28	5153825838
new_complete_cycle_safe_d29	5433928840
new_complete_cycle_safe_d30	6978119195
new_complete_cycle_safe_d31	561706378
new_complete_cycle_safe_d32	2728613739
new_complete_cycle_safe_d33	1501750221
new_complete_cycle_safe_d34	126980183
new_complete_cycle_safe_d23_d34	77081911098
certified_safe_mass_through_complete_cycle_d34	3286147336045
uncertified_tail_upper_bound	133571725515
certified_safe_fraction_percent	96.094073135526301
max_prepared_piece_multiplicity	26716555169
complete_cycle_extension_exhausted_at_d34	1
status	EXACT_FINITE_COMPLETE_CYCLE_DP_LOWER_BOUND_NO_R11_CLOSURE_CLAIM
