metric	value
regression_depth	23
regression_complete_increment	3151665357
regression_remainder_increment	147454842
regression_exact_increment	3299120199
depth	26
threshold_levels	377
complete_increment	5512456558
remainder_increment	907778775
exact_increment	6420235333
cumulative_remainder_increment_d23_d26	4118791545
certified_safe_mass_with_math131_plus_exact_remainders_d23_d26	3290266127590
uncertified_tail_upper_bound	129452933970
certified_safe_fraction_percent	96.21451553067209
status	EXACT_FINITE_OPTIMIZED_REMAINDER_AUDIT_NO_R11_CLOSURE_CLAIM
