sample	run_id	job_id	family	original_shard	piece_id	cylinders	occurrences	wall_seconds	closure_leaves	resource_splits	max_depth	max_state	source_chunk	status
MATH161-sub5	34990207168	104452658636	fragmented-recursive64	18	5	1	3363923805	325.851	128	127	483	755300	1	PASS
MATH161-sub7	34990207168	104452658637	fragmented-recursive64	18	7	1	3363923805	623.022	128	127	472	755286	1	PASS
MATH161-sub2	34990207168	104452658639	fragmented-recursive64	18	2	1	3363923805	579.784	128	127	459	873408	1	PASS
MATH161-sub11	34990207168	104452658642	fragmented-recursive64	18	11	1	3363923805	649.291	128	127	413	785732	1	PASS
MATH162-micro0	34990484411	104454429664	giant-ap-micro64	2	0	1	3363923805	435.635	64	63	457	998653	1	PASS
MATH161-sub29	34990207168	104452660630	fragmented-recursive64	18	29	1	3363923805	426.706	128	127	453	880176	1	PASS
MATH162-micro21	34990484411	104454432164	giant-ap-micro64	2	21	1	3363923804	501.181	128	127	489	827676	1	PASS
MATH161-sub34	34990207168	104452661348	fragmented-recursive64	18	34	1	3363923805	443.493	77	76	416	998685	1	PASS
MATH161-sub47	34990207168	104452663800	fragmented-recursive64-composite	18	47	136	3363923802	492.634	227	91	481	987143	1	PASS
MATH161-sub48	34990207168	104452664050	fragmented-recursive64-composite	18	48	141	3363923802	483.974	222	81	480	957994	1	PASS
