k,survivors,closure_fail,transition_checked,transition_fail,block_samples,block_fail,endpoint_classes,collision_classes,max_endpoint_class,true_merge_pairs,dq0_pairs,dq1_pairs,bad_G,typeA,typeB,G2,G6,G10,G_other_pos,dq_gt1,max_dq
1,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,4,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,6,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,8,0,8,0,8,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,13,0,16,0,13,0,12,1,2,1,0,1,0,1,0,1,0,0,0,0,1
8,19,0,26,0,19,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,38,0,38,0,38,0,36,2,2,1,0,1,0,1,0,1,0,0,0,0,1
10,64,0,76,0,64,0,61,3,2,0,0,0,0,0,0,0,0,0,0,0,0
11,128,0,128,0,128,0,119,9,2,1,0,1,0,1,0,1,0,0,0,0,1
12,226,0,256,0,226,0,211,15,2,0,0,0,0,0,0,0,0,0,0,0,0
13,367,0,452,0,367,0,345,22,2,1,0,1,0,1,0,1,0,0,0,0,1
14,734,0,734,0,734,0,687,47,2,0,0,0,0,0,0,0,0,0,0,0,0
15,1295,0,1468,0,1024,0,1211,84,2,1,0,1,0,1,0,1,0,0,0,0,1
16,2114,0,2590,0,1024,0,1984,130,2,0,0,0,0,0,0,0,0,0,0,0,0
17,4228,0,4228,0,1024,0,3965,263,2,1,0,1,0,1,0,1,0,0,0,0,1
18,7495,0,8456,0,1024,0,7026,469,2,0,0,0,0,0,0,0,0,0,0,0,0
19,14990,0,14990,0,1024,0,14053,933,3,7,0,4,0,1,3,4,0,0,0,3,2
20,27328,0,29980,0,1024,0,25644,1676,3,12,0,10,0,0,10,10,0,0,0,2,2
21,46611,0,54656,0,1024,0,43734,2863,3,8,0,5,0,1,4,5,0,0,0,3,2
22,93222,0,93222,0,1024,0,87491,5696,3,15,0,11,0,0,11,11,0,0,0,4,2
23,168807,0,186444,0,1024,0,158477,10264,4,48,0,29,0,1,28,29,0,0,0,19,3
24,286581,0,337614,0,1024,0,269145,17328,4,51,0,29,0,0,29,29,0,0,0,22,2
25,573162,0,573162,0,1024,0,538202,34730,4,74,0,43,0,1,42,43,0,0,0,31,2
26,1037374,0,1146324,0,1024,0,974618,62320,4,167,0,106,0,1,105,105,1,0,0,61,3
27,1762293,0,2074748,0,1024,0,1656504,105061,4,171,0,101,0,2,99,100,1,0,0,70,3
28,3524586,0,3524586,0,1024,0,3312992,210107,4,246,0,163,0,27,136,162,1,0,0,83,3
29,6385637,0,7049172,0,1024,0,6003575,379327,4,594,0,392,0,45,347,388,4,0,0,202,3
30,12771274,0,12771274,0,1024,0,12006840,758572,4,992,0,644,0,221,423,605,4,35,0,348,3
31,23642078,0,25542548,0,1024,0,22229766,1401286,4,1985,0,1298,0,334,964,1256,9,33,0,687,3
32,41347483,0,47284156,0,1024,0,38890504,2437971,4,2620,0,1708,0,439,1269,1668,17,23,0,912,4
